id,trigger,conditions,script,text,options,notes
nex_NGCAddOtherOptionsMenu,ExerelinNGCOtherOptions,,"Nex_VisualCustomPanel create true
Nex_NGCPopulateCustomPanelOptions other",,,
nex_NGCOtherOptionsBack,ExerelinNGCOtherOptions,,"Nex_DynamicPaginatedOptions addOptionAllPages exerelinNGCOptionsBack Back
Nex_DynamicPaginatedOptions addShortcut exerelinNGCOptionsBack ESCAPE",,,
nex_NGCOtherOptions_show,ExerelinNGCOtherOptions,,Nex_DynamicPaginatedOptions show,,,
,,,,,,
ExerelinNGCEnableCorvusMode,NewGameOptionSelected,$option==exerelinNGCEnableCorvusMode,"NGCSetCorvusMode true
FireAll ExerelinNGCOptions",,,
ExerelinNGCDisableCorvusMode,NewGameOptionSelected,$option==exerelinNGCDisableCorvusMode,"NGCSetCorvusMode false
Nex_NGCFactionToggle processRecommendedSize
FireAll ExerelinNGCOptions",,,
,,,,,,
nex_NGCCustomScenarioMenu,NewGameOptionSelected,$option==nex_NGCCustomScenarioMenu,Nex_NGCCustomScenario menu,,,
nex_NGCCustomScenarioSelected,NewGameOptionSelected,"Nex_OptionStartsWith ""nex_NGCCustomScenario_""","Nex_NGCCustomScenario select
FireAll ExerelinNGCOtherOptions",,,
,,,,,,
nex_NGCFactionSelection,ExerelinNGCStep2,,Nex_NGCListFactions listGroups,К какой фракции вы хотите присоединиться?,,
nex_NGCFactionsBackToGroups,NewGameOptionSelected,$option==nex_NGCFactionsBack,Nex_NGCListFactions listGroups,,,
nex_NGCListFactionsByGroup,NewGameOptionSelected,"Nex_OptionStartsWith ""nex_NGCListFactionsGroup_""",Nex_NGCListFactions listFactions,,,
,,,,,,
nex_NGCJoinFaction,NewGameOptionSelected,"Nex_OptionStartsWith ""nex_NGCJoinFaction_""","Nex_NGCSetFactionFromJoinOption
FireAll ExerelinNGCStep3",,,
,,,,,,
nex_NGCDevStart,NewGameOptionSelected,$option == nex_NGCDevStart,"NGCSetPlayerFaction ""player""
NGCSetFreeStart true
NGCSetWithTimePass false
NGCAddShipAndComplement ""medusa_Starting""
NGCAddCredits 1000000
NGCAddCharacterPoints 100
NGCDone",,,
nex_NGCDevStartFast,NewGameOptionSelected,$option == nex_NGCDevStartFast,"NGCSetPlayerFaction ""player""
NGCSetFreeStart true
NGCSetWithTimePass false
NGCAddShipAndComplement ""medusa_Starting""
NGCAddCredits 1000000
NGCAddCharacterPoints 100
NGCDone",,,
nex_NGCRandomFaction,NewGameOptionSelected,$option == nex_NGCJoinRandomFaction,"NGCSetPlayerFaction ""random""
$factionGroup = 0
FireAll ExerelinNGCStep3",,,
nex_NGCOwnFaction,NewGameOptionSelected,$option == nex_NGCJoinOwnFaction,"NGCSetPlayerFaction ""player""
NGCSetFreeStart false
$factionGroup = 0
FireAll ExerelinNGCStep3",,,
nex_NGCFreeStart,NewGameOptionSelected,$option == nex_NGCFreeStart,"NGCSetPlayerFaction ""player""
NGCSetFreeStart true
$factionGroup = 0
FireAll ExerelinNGCStep3",,,
nex_NGCCustomStart,NewGameOptionSelected,$option == nex_NGCCustomStart,Nex_NGCCustomStart menu,,1:nex_NGCDone:Готово,
nex_NGCCustomStartByTrigger,Nex_NGCCustomStartMenu,,Nex_NGCCustomStart menu,,,
,,,,,,
nex_NGCPickStartingShips,ExerelinNGCStep3,,"Nex_NGCStartFleetOptionsV2
FireBest Nex_NGCStartFactionFlavor",,,
nex_NGCFactionFlavor,Nex_NGCStartFactionFlavor,$nex_lastSeenFactionForDesc != $playerFaction,"Nex_NGCPrintFactionDesc
$nex_lastSeenFactionForDesc = $playerFaction",,,
nex_NGCStartShipsSolo,NewGameOptionSelected,$option == nex_NGCFleetSolo,"NGCAddStartingShipsByFleetType SOLO
FireBest ExerelinNGCStep4
FireBest ExerelinNGCStep4Plus",,,
nex_NGCStartShipsCombatSmall,NewGameOptionSelected,$option == nex_NGCFleetCombatSmall,"NGCAddStartingShipsByFleetType COMBAT_SMALL
FireBest ExerelinNGCStep4
FireBest ExerelinNGCStep4Plus",,,
nex_NGCStartShipsTradeSmall,NewGameOptionSelected,$option == nex_NGCFleetTradeSmall,"NGCAddStartingShipsByFleetType TRADE_SMALL
FireBest ExerelinNGCStep4
FireBest ExerelinNGCStep4Plus",,,
nex_NGCStartShipsExplorerSmall,NewGameOptionSelected,$option == nex_NGCFleetExplorerSmall,"NGCAddStartingShipsByFleetType EXPLORER_SMALL
FireBest ExerelinNGCStep4
FireBest ExerelinNGCStep4Plus",,,
nex_NGCStartShipsCarrierSmall,NewGameOptionSelected,$option == nex_NGCFleetCarrierSmall,"NGCAddStartingShipsByFleetType CARRIER_SMALL
FireBest ExerelinNGCStep4
FireBest ExerelinNGCStep4Plus",,,
nex_NGCStartShipsCombatLarge,NewGameOptionSelected,$option == nex_NGCFleetCombatLarge,"NGCAddStartingShipsByFleetType COMBAT_LARGE
FireBest ExerelinNGCStep4
FireBest ExerelinNGCStep4Plus",,,
nex_NGCStartShipsTradeLarge,NewGameOptionSelected,$option == nex_NGCFleetTradeLarge,"NGCAddStartingShipsByFleetType TRADE_LARGE
FireBest ExerelinNGCStep4
FireBest ExerelinNGCStep4Plus",,,
nex_NGCStartShipsExplorerLarge,NewGameOptionSelected,$option == nex_NGCFleetExplorerLarge,"NGCAddStartingShipsByFleetType EXPLORER_LARGE
FireBest ExerelinNGCStep4
FireBest ExerelinNGCStep4Plus",,,
nex_NGCStartShipsCarrierLarge,NewGameOptionSelected,$option == nex_NGCFleetCarrierLarge,"NGCAddStartingShipsByFleetType CARRIER_LARGE
FireBest ExerelinNGCStep4
FireBest ExerelinNGCStep4Plus",,,
nex_NGCStartShipsSuper,NewGameOptionSelected,$option == nex_NGCFleetSuper,"NGCAddStartingShipsByFleetType SUPER
FireBest ExerelinNGCStep4
FireBest ExerelinNGCStep4Plus",,,
nex_NGCStartShipsGrandFleet,NewGameOptionSelected,$option == nex_NGCFleetGrandFleet,"NGCAddStartingShipsByFleetType GRAND_FLEET
FireBest ExerelinNGCStep4
FireBest ExerelinNGCStep4Plus",,,
,,,,,,
nex_NGCStartShipsBack,NewGameOptionSelected,$option == nex_NGCFleetBack,"Nex_VisualCustomPanel clear
Nex_NGCListFactions listFactions $factionGroup",,,
nex_NGCStartShipsBackToCustomStart,NewGameOptionSelected,"$option == nex_NGCFleetBack
$nex_customStart != null","Nex_VisualCustomPanel clear
Nex_NGCCustomStart unset
Nex_NGCCustomStart menu",,,
,,,,,,
nex_NGCCustomStartSelection,NewGameOptionSelected,"Nex_OptionStartsWith ""nex_NGCCustomStart_""",Nex_NGCCustomStart select,,,
,,,,,,
nex_NGCFinalize,ExerelinNGCStep4,,"AddText ""Начальный опыт и активы?""
Nex_NGCStartResources createOptions
SetShortcut nex_NGCStartBack ESCAPE",,"nex_NGCStartEnsign:Энсин (20 000 кредитов, уровень 1)
nex_NGCStartLieutenant:Лейтенант (75 000 кредитов, уровень 3, один офицер)
nex_NGCStartCommander:Командир (250 000 кредитов, уровень 6, два офицера)
nex_NGCCustomResourcesStart:Свой...",
nex_NGCFinalizeSuper,ExerelinNGCStep4,$option == nex_NGCFleetSuper,"AddText ""Начальный опыт и активы?""
Nex_NGCStartResources createOptions
SetShortcut nex_NGCStartBack ESCAPE",,"nex_NGCStartAgent:Агент (20 000 кредитов, уровень 1)
nex_NGCStartSpecialAgent:Специальный агент (75 000 кредитов, уровень 3)
nex_NGCCustomResourcesStart:Свой...",
nex_NGCStep4Reroll,NewGameOptionSelected,$option == nex_NGCStep4FleetReroll,"NGCClearStartingGear
Nex_NGCStartResources reroll
NGCAddStartingShipsByFleetType $nex_lastSelectedFleetType
Nex_NGCStartResources createOptions
SetShortcut nex_NGCStartBack ESCAPE",,"nex_NGCStartEnsign:Энсин (20 000 кредитов, уровень 1)
nex_NGCStartLieutenant:Лейтенант (75 000 кредитов, уровень 3, один офицер)
nex_NGCStartCommander:Командир (250 000 кредитов, уровень 6, два офицера)
nex_NGCCustomResourcesStart:Свой...",
nex_NGCStep4RerollSuper,NewGameOptionSelected,"$option == nex_NGCStep4FleetReroll
$nex_lastSelectedFleetType == SUPER","NGCClearStartingGear
Nex_NGCStartResources reroll
NGCAddStartingShipsByFleetType $nex_lastSelectedFleetType
Nex_NGCStartResources createOptions
SetShortcut nex_NGCStartBack ESCAPE",,"nex_NGCStartAgent:Агент (20 000 кредитов, уровень 1)
nex_NGCStartSpecialAgent:Специальный агент (75 000 кредитов, уровень 3)
nex_NGCCustomResourcesStart:Свой...",
nex_NGCStep4RepickCustom,NewGameOptionSelected,"$option == nex_NGCStep4FleetReroll
$nex_lastSelectedFleetType == CUSTOM",Nex_NGCCustomStartFleet,,,
,,,,,,
nex_NGCNormalStart,NewGameOptionSelected,$option == nex_NGCStartEnsign,"NGCAddCredits 20000
NGCAddCharacterPoints 1
NGCSetNumStartingOfficers 0
FireBest NewGameBackgroundSelection",,,
nex_NGCStartLieutenant,NewGameOptionSelected,$option == nex_NGCStartLieutenant,"NGCAddCredits 75000
NGCAddCharacterPoints 1
Nex_NGCAddLevel 3
NGCSetNumStartingOfficers 1
FireBest NewGameBackgroundSelection",,,
nex_NGCStartCommander,NewGameOptionSelected,$option == nex_NGCStartCommander,"NGCAddCredits 250000
NGCAddCharacterPoints 1
Nex_NGCAddLevel 6
NGCSetNumStartingOfficers 2
FireBest NewGameBackgroundSelection",,,
nex_NGCStartAgent,NewGameOptionSelected,$option == nex_NGCStartAgent,"NGCAddCredits 20000
NGCAddCharacterPoints 1
NGCSetNumStartingOfficers 0
FireBest NewGameBackgroundSelection",,,
nex_NGCStartSpecialAgent,NewGameOptionSelected,$option == nex_NGCStartSpecialAgent,"NGCAddCredits 75000
NGCAddCharacterPoints 1
Nex_NGCAddLevel 3
NGCSetNumStartingOfficers 0
FireBest NewGameBackgroundSelection",,,
nex_NGCStartCustomResources,NewGameOptionSelected,$option == nex_NGCCustomResourcesStart,"Nex_NGCStartResources save
NGCAddCharacterPoints 1
FireBest NewGameBackgroundSelection",,,
nex_NGCStartBack,NewGameOptionSelected,$option == nex_NGCStartBack,"NGCClearStartingGear
unset $nex_lastSelectedFleetType
FireAll ExerelinNGCStep3",,,
nex_NGCStartBackToCustomStart,NewGameOptionSelected,"$option == nex_NGCStartBack
$nex_customStart != null
Nex_IsNull $nex_lastSelectedFleetType","NGCClearStartingGear
Nex_NGCCustomStart unset
FireBest Nex_NGCCustomStartMenu",,,
,,,,,,
nex_NGCSelectBackground,NewGameBackgroundSelection,,Nex_NGCBackgroundSelection selectBackground,,,
nex_NGCSelectBackgroundFinished,NewGameOptionSelected,$option == nex_NGCDoneWithBackground,"Nex_NGCBackgroundSelection confirmSelection
$option = nex_NGCDone
FireBest NewGameOptionSelected",,,
,,,,,,
nex_NGCDoneOption,NewGameOptionSelected,$option == nex_NGCDone,"Nex_NGCFinalize
NGCDone",,,
#END NGC options,,,,,,
,,,,,,
# Market special options,,,,,,
ExerelinMarketAddOptionSpecial,PopulateOptions,$menuState == main,"SetShortcut exerelinMarketSpecial ""S"" true",,21:exerelinMarketSpecial:Специальные функции,
ExerelinMarketSpecialOptions,DialogOptionSelected,$option == exerelinMarketSpecial,"$menuState = exerelinSpecial
unset $nex_fleetRequest_initComplete
ShowDefaultVisual
FireAll ExerelinMarketSpecialInitialize
FireAll ExerelinMarketSpecial",,,
,,,,,,
#nex_marketSpecialIntelOption,ExerelinMarketSpecial,!$hasMarket,MakeOptionOpenCore nex_openIntel INTEL OPEN,,24:nex_openIntel:Открыть экран разведданных,
#nex_marketSpecialIntelOptionSel,DialogOptionSelected,$option == nex_openIntel,,,,
ExerelinMarketSpecialBackOption,ExerelinMarketSpecial,$hasMarket,SetShortcut exerelinMarketSpecialBack ESCAPE,,25:exerelinMarketSpecialBack:Назад,
ExerelinMarketSpecialBackOptionNoMarket,ExerelinMarketSpecial,!$hasMarket,SetShortcut marketLeave ESCAPE,,999:marketLeave:Назад,
ExerelinMarketSpecialBack,DialogOptionSelected,$option == exerelinMarketSpecialBack,"ExerelinShowDefaultVisual
$menuState = main 0
FireAll PopulateOptions",,,
#END Market special options,,,,,,
,,,,,,
# Military options override + additions,,,,,,
nex_marketHostileSel,DialogOptionSelected,$option == marketConsiderHostile score:2,Nex_MarketCMD showDefenses,,,
nex_marketHostileGoBackSel,DialogOptionSelected,$option == mktGoBack score:2,"Nex_MarketCMD cleanupResponder
ShowDefaultVisual
FireAll PopulateOptions",,,
nex_marketHostileEngageSel,DialogOptionSelected,$option == mktEngage score:2,Nex_MarketCMD engage,,,
nex_marketHostileRaidSel,DialogOptionSelected,$option == mktRaid score:2,Nex_MarketCMD raidMenu,,,
nex_marketHostileRaidNonMarket,DialogOptionSelected,$option == mktRaidNonMarket score:2,Nex_MarketCMD raidNonMarket,,,$option == mktRaidNonMarket
nex_marketHostileRaidGoBackSel,DialogOptionSelected,$option == mktRaidGoBack score:2,Nex_MarketCMD goBackToDefenses,,,
nex_marketHostileRaidRareSel,DialogOptionSelected,$option == mktRaidRare score:2,Nex_MarketCMD raidRare,,,
nex_marketHostileRaidValuableSel,DialogOptionSelected,$option == mktRaidValuable score:2,Nex_MarketCMD raidValuable,,,
nex_marketHostileRaidDisruptSel,DialogOptionSelected,$option == mktRaidDisrupt score:2,Nex_MarketCMD raidDisrupt,,,
nex_marketHostileRaidConfirmSel,DialogOptionSelected,$option == mktRaidConfirm score:2,Nex_MarketCMD raidConfirm,,,
nex_marketHostileRaidConfirmContSel,DialogOptionSelected,$option == mktRaidConfirmContinue score:2,Nex_MarketCMD raidConfirmContinue,,,
nex_marketHostileRaidNeverMindSel,DialogOptionSelected,$option == mktRaidNeverMind score:2,Nex_MarketCMD raidNeverMind,,,
nex_marketHostileRaidResultSel,DialogOptionSelected,$option == mktRaidResult score:2,Nex_MarketCMD raidResult,,,
nex_marketHostileRaidPostRaidDefault,PostGroundRaid,,Nex_MarketCMD addContinueToRaidResultOption,,,
,,,,,,
,,,,,,
nex_marketHostileBombardSel,DialogOptionSelected,$option == mktBombard score:2,Nex_MarketCMD bombardMenu,,,
nex_marketHostileBombardGoBackSel,DialogOptionSelected,$option == mktBombardGoBack score:2,Nex_MarketCMD goBackToDefenses,,,
nex_marketHostileBombardTacticalSel,DialogOptionSelected,$option == mktBombardTactical score:2,Nex_MarketCMD bombardTactical,,,
nex_marketHostileBombardSaturationSel,DialogOptionSelected,$option == mktBombardSaturation score:2,Nex_MarketCMD bombardSaturation,,,
nex_marketHostileBombardConfirmSel,DialogOptionSelected,$option == mktBombardConfirm score:2,Nex_MarketCMD bombardConfirm,,,
nex_marketHostileBombardNeverMindSel,DialogOptionSelected,$option == mktBombardNeverMind score:2,Nex_MarketCMD bombardNeverMind,,,
nex_marketHostileBombardResultSel,DialogOptionSelected,$option == mktBombardResult score:2,Nex_MarketCMD bombardResult,,,
,,,,,,
nex_marketHostileInvadeSel,DialogOptionSelected,$option == nex_mktInvade,Nex_MarketCMD invadeMenu,,,
nex_marketHostileInvadeGoBackSel,DialogOptionSelected,$option == nex_mktInvadeGoBack,Nex_MarketCMD goBackToDefenses,,,
nex_marketHostileInvadeConfirmSel,DialogOptionSelected,$option == nex_mktInvadeConfirm,Nex_MarketCMD invadeConfirm,,,
nex_marketHostileInvadeOpenIntelSel,DialogOptionSelected,$option == nex_mktInvadeOpenIntel,Nex_MarketCMD openIntel,,,
nex_marketHostileInvadeContinue,DISABLED_DialogOptionSelected,$option == nex_mktInvadeContinue,"ShowDefaultVisual
FireBest PopulateOptions",,,
nex_marketHostileInvadeAbortSel,DialogOptionSelected,$option == nex_mktInvadeAbort,Nex_MarketCMD invadeAbort,,,
nex_marketHostileInvadeResultSel,DialogOptionSelected,$option == nex_mktInvadeResult,Nex_MarketCMD invadeResult,,,
nex_marketHostileInvadeResultAndradaSel,DialogOptionSelected,$option == nex_mktInvadeResultAndrada,Nex_MarketCMD invadeResultAndrada,,,
#END Military options override + additions,,,,,,
,,,,,,
# Market directory options,,,,,,
nex_factionDirectoryOption,ExerelinMarketSpecial,,SetShortcut nex_factionDirectoryMain D,,7:nex_factionDirectoryMain:Каталог фракций,
nex_factionDirectory,DialogOptionSelected,$option == nex_factionDirectoryMain,FireAll ExerelinFactionDirectory,,,
nex_factionDirectoryByTrigger,ExerelinFactionDirectory,,"Nex_VisualCustomPanel clear
Nex_FactionDirectory listGroups",Какую фракцию вы хотите найти?,,
nex_factionDirectoryList,DialogOptionSelected,"Nex_OptionStartsWith ""nex_factionDirectoryList_""",Nex_FactionDirectory listFactions,,,
nex_factionDirectoryList_indSearch,DialogOptionSelected,$option == nex_factionDirectoryList_indSearch score:2,"FireAll Nex_FactionDirectory_IndSearchOpts
SetShortcut nex_factionDirectoryMain ESCAPE",,,
nex_factionDirectoryList_indSearchDefault,Nex_FactionDirectory_IndSearchOpts,,,,"nex_printMarketsWithIndustries_heavyIndustry:Тяжелая промышленность
nex_printMarketsWithIndustries_fuelprod:Производство топлива
nex_printMarketsWithIndustries_military:Военная база
99:nex_factionDirectoryMain:Вернуться",
nex_factionDirectoryList_indSearchIndEvo,Nex_FactionDirectory_IndSearchOpts,Nex_IsModActive IndEvo,,,"nex_printMarketsWithIndustries_IndEvo_Academy:Академия
nex_printMarketsWithIndustries_IndEvo_dryDock:Доки восстановления",
,,,,,,
nex_factionDirectoryPrint,DialogOptionSelected,"Nex_OptionStartsWith ""nex_printFactionMarkets_""",Nex_FactionDirectory print,,,
nex_factionDirectoryPrintIndustry,DialogOptionSelected,"Nex_OptionStartsWith ""nex_printMarketsWithIndustries_""",Nex_FactionDirectory printIndustries,,,
nex_factionDirectoryPrintDisputed,DialogOptionSelected,$option == nex_printDisputedMarkets,Nex_FactionDirectory printDisputed,,,
#END Market directory options,,,,,,
,,,,,,
# Prisoner options,,,,,,
ExerelinMarketPrisonerOption,ExerelinMarketSpecial,"$hasMarket
$faction.id != ""neutral""","SetEnabled exerelinUsePrisoner true
SetShortcut exerelinUsePrisoner P",,4:exerelinUsePrisoner:Действия с заключенными,
ExerelinMarketPrisonerOptionNoPrisoners,ExerelinMarketSpecial,"$hasMarket
$faction.id != ""neutral""
!HasItem prisoner score:10","SetTooltip exerelinUsePrisoner ""You have no prisoners!""
SetEnabled exerelinUsePrisoner false",,,
ExerelinMarketPrisonerOptionNotAllowed,ExerelinMarketSpecial,"$hasMarket
$faction.id != ""neutral""
!FactionAllowPrisonerActions  $faction.id score:20","SetTooltip exerelinUsePrisoner ""$TheFaction have no use for prisoners.""
SetEnabled exerelinUsePrisoner false",,,
nex_marketPrisonerOptionRecentlyInvaded,ExerelinMarketSpecial,"$hasMarket
$faction.nex_recentlyInvaded score:20","Nex_PrisonerAction getCooldown
SetTooltip exerelinUsePrisoner ""$TheFaction is not currently accepting prisoners due to your recent invasions of their territory. This will last for $nex_recentInvasionCooldown.""
SetTooltipHighlightColors exerelinUsePrisoner hColor
SetTooltipHighlights exerelinUsePrisoner $nex_recentInvasionCooldown
SetEnabled exerelinUsePrisoner false",,,
ExerelinPrisonerOptionListMain,DialogOptionSelected,$option == exerelinUsePrisoner,"$menuState = prisoner 0
GetNumSpecialPeople
ShowVisual ""graphics/illustrations/pirate_station.jpg""
FireAll ExerelinPrisonerOption",,,
ExerelinPrisonerOptionNumPrisoners,ExerelinPrisonerOption,,SetTextHighlights $numPrisoners,У вас $numPrisoners заключенных.,,
ExerelinPrisonerOptionListRepatriate,ExerelinPrisonerOption,"$faction.id != ""player""","SetTooltip exerelinPrisonerRepatriate ""Release a prisoner for a reputation boost with $theFaction.""
SetShortcut exerelinPrisonerRepatriate P",,exerelinPrisonerRepatriate:Репатриировать заключенного,
ExerelinPrisonerOptionListRepatriateMaxRep,ExerelinPrisonerOption,"$faction.id != ""player""
Nex_PrisonerAction isAtMaxRep","SetTooltip exerelinPrisonerRepatriate ""Your reputation with $theFaction is already at the maximum level.""
SetEnabled exerelinPrisonerRepatriate false",,,
ExerelinPrisonerOptionListRansomBase,ExerelinPrisonerOption,,,,exerelinPrisonerRansom:Получить выкуп,
ExerelinPrisonerOptionListRansom,ExerelinPrisonerOption,,"Nex_PrisonerAction getValue
SetTooltip exerelinPrisonerRansom ""Return a prisoner in exchange for a ransom of $ransomValue credits.""
SetTooltipHighlightColors exerelinPrisonerRansom buttonShortcut 
SetTooltipHighlights exerelinPrisonerRansom $ransomValue
SetEnabled exerelinPrisonerRansom true
SetShortcut exerelinPrisonerRansom R",,,
