id,type,text1,text2,text3,notes
nex_silverlight,SHIP,"> обозначение VOX_OMEGA
основная воля подготовлена к поглощению
ПОДТВЕРДИТЬ ОТВЕТ",Unidentified Vessel,"# An unexpected error has been detected by Combat Analysis VM:
#
# EXCEPTION_ACCESS_VIOLATION (0xc0000005) 
# $%&'()*+,-./:;<=>@[\]^`{|}~￠￡\§¨≪￢￣°±´¶・，≫×÷
#
# Tri-Tachyon Pad: Tri-OS 11™ Client Pad (11.1-internal debug mode)
# Problematic frame:
# V  [Combat_Analysis+0x69d77]",
nex_alicorn,WEAPON,"""Если хочешь жить, отпусти свою жизнь!""","- Mauve Towering, during encirclement at [REDACTED] post-AIW1",,
nex_silverlight_dash,SHIP_SYSTEM,"Синхронизирует все системы для мощного рывка вперед, что соответствует любви Mauve Towering к погоне. Удваивает скорость течения времени и характеристики мобильности и вдвое уменьшает получаемый урон. Система отключает щит, оружие и замедление, пока активна, поэтому она наиболее полезна для агрессивного изменения позиции. Призывает Аспектов и отсоединяет паразитические Осколки корабля, если идет бой.",Special,"Doubles timeflow and mobility stats. Halves damage taken. Disables shield, weapons and deceleration while active. Summons Aspects and detaches Shards if in combat.",
,,,,,
,,,,,
,,,,,
,,,,,
# captured planet custom descs,,,,,
,,,,,
planet_jangala_independent,CUSTOM,"Проклятый изумруд системы Корвус сохраняет смертоносную, богатую биосферу наряду с крепкой популяцией, приспособленной для выживания на такой местности. Обширные поля, обрабатываемые дистанционными комбайнами, моря, прочесываемые в поисках ценных продуктов, Джангала остается одним из самых продуктивных тел органики, продуктов питания и ксенобиологического материала. Обладая большинством населения луддитов, отделение от Гегемонии не поколебало сильную милитаристскую полосу в ее коренных гражданах.",,"The airtight cities of the poisonous world are remarkably safe, patrolled by a disciplined planetary defense force, composed primarily of former Hegemony personnel. Those who were deemed unfit for service have coalesced into the Knights of the Rose, a paramilitary gang that some citizens rumor are controlled by the former Field Marshal, now Defense Secretary of the planet. Attacks by the Roses are readily denounced by the Defense Secretary, and members of his party are quick to pledge support to aid recovery from such incidents. It is so far considered coincidental that such attacks occur only to those advocating a less than friendly stance with the Hegemony.",
planet_jangala_luddic_church,CUSTOM,"Жемчужина системы Корвус считается священной для большинства луддитов, ее сплошные джунгли не менее великолепны из-за своей смертоносной природы. Штормы регулярно раскачивают дикие леса, фауна обычно жестока, а флора наполняет биосферу переносимым по воздуху ядом. Огромный урожай, производимый полями и морями мира, охраняется Вечной гвардией, бывшими планетарными гвардейцами Гегемонии, а теперь защитниками всех, от парящих городов до скромных куполов деревень.",,"While the robotic harvesters have been kept running, and Jangala Station continues burn maintenance to keep the grasping jungle from the fields and sealed cities, most heavy industry has been disabled. The orbital burning is deemed a necessary evil by the faithful, who conduct prayer for forgiveness whenever operating the station's powerful weapon. The Sub-Presbyter Orbis is often advised by the leader of the Eternal Guard, former Field Marshal of the planetary forces, in the defense of new and existing settlements from bandits and beasts of the green. The Knights of Ludd and Eternal Guard often cooperate in patrols and exercises, but Knights are not permitted into the deep jungle bunkers of the Guard for reasons unknown. As a result, a measure of distrust exists between the two orders, despite efforts of the Sub-Presbyter Orbis.",
planet_jangala_luddic_path,CUSTOM,"Святая рука Божьего гнева была захвачена Избранными Лудда, Изумруд Корвуса теперь не осквернен еретическим перстом орбитального лазера Джангала-Станции. Фермы и моря остаются нетронутыми, местная ксеножизнь неконтролируемой, за исключением немногих мест святого паломничества, за которыми ухаживают Изумрудные Стражи, служащие как храмы для верующих Лудда, так и точки насыпи для самых святых крестовых походов Лудда в сокрушающую листву Его самого ужасного гнева. Его воля проявилась, джунгли уничтожили всю еретическую промышленность человека, которая осмелилась бросить ей вызов в прошлые годы. Единственным пережитком такой гордыни является святой тигель Джангалы, через который Патеры должны доказать, что они достойны быть упомянутыми как святые; Джангальские Адские Бойцы.",,"As there is no known location of the Hellfighters, Pather crusades will brazenly march the banner of Ludd deep into the jungle, establish defenses, and await the crucible with trembling hand. Those who survive these crusades are shaken, describing figures of burning infernium crashing through the perimeter of their camps. Those who return, dead or alive, share a single trait; the symbol of the Path, burned into their breast with hot iron. The High Crusader has declared the death of the Field Marshal to be of utmost importance, for he defies the will of Ludd. Even in the temples, there are whispers the field marshal cannot be killed, a demon who defies the rules of death. Jangala, the most holy of proving grounds, is a land of devils.",
planet_jangala_persean,CUSTOM,"Должностные лица Лиги заявили, что с захватом Джангалы ненавистная Гегемония ослаблена, ее силы в полном отступлении с планеты, поскольку они признают, что это предсмертный звон их империи. Это официальное заявление. Однако на поверхности силам планетарной обороны передается противоречивое сообщение. На этой прекрасной ядовитой планете есть угроза, выходящая за рамки жестоких мегаштормов, враждебной фауны и токсичной флоры. Возвращающиеся солдаты Лиги описывают угрозу как террористов с запавшими глазами, по-видимому, не носящих биофильтры. Такие разговоры - это диссидентская пропаганда, наряду с неофициальным названием, приписываемым этим агитаторам, Токсичные Мстители.",,"Each day there is the threat of terrorism, public events and buildings struck by unknown assailants, often crying out a scream of support for the Field Marshal, who is officially dead. The League regularly sends conscripts into the hungry roots of the jungle to confirm his death, and to ensure the supposed Avengers are no longer a threat. While a large number of League assets have been sent into the jungles of Jangala, many remain deeply entrenched in the terrain. Establishing permanent field camps, League commissars direct their conscripts in the blowing of rebel tunnel networks, and the liberal use of incendiary weapons. When night falls however, men turn up missing. They are most usually discovered fighting alongside the rebels, or surrounded by buzzing insects, nailed to the trees. There is no war on Jangala.",
planet_jangala_pirates,CUSTOM,"Жаждаемая жемчужина Гегемонии Персейского сектора была захвачена Королем бандитов Бладстоуном, который сначала поспешил воспользоваться шансом безнаказанно нанести удар по зеленому драгоценному камню системы Корвус, планируя сжечь весь земной шар дотла с помощью орбитального лазера станции Джангала. Но из-за минимального понимания оборудования это впечатляющее оружие редко находится в рабочем состоянии, что приводит к массивному разрастанию токсичных джунглей на некогда нетронутых полях и запечатанных городах мира джунглей. Хуже потерянной пищи, чем потерянные крепости и центры торговли, будет то, что остается и процветает в зеленом аду; появление их биоопасного боевого снаряжения заставило пиратов назвать их Лягушатниками.",,"The pirates hold no actual ground on Jangala, only maintaining field outposts around landing zones cleared by hand with burners and machete. With a reward posted for the head of any Frogman by the orbital station's pirate king, many have touched down with a serrated knife at hand, ready to retire on a paradise world with an account full of credits. Instead, as dawn breaks, the fresh batch of bounty hunters discover the fate of the last wave. Aside from those fallen in combat or to simple traps, those caught alive serve as a warning to never hunt alone; privateers tied to trees, the seed of a native vine having been forced down their throat, growing out in the span of hours. The reward for the Field Marshal's head is in the millions of credits, yet few dare to hunt such a bounty.",
planet_jangala_sindrian_diktat,CUSTOM,"Изумруд Корвуса подтверждает истинность изречения Диктата: ""Не делай слишком плохо, не делай слишком хорошо"", ибо способным и тем, кого следует наказать, уготована одна и та же участь. Служба на Джангале страшна не из-за ее токсичной биосферы, апокалиптических ураганов или враждебной ксеножизни; она страшна из-за того, что остается бросить вызов Диктату, открытого неповиновения воле Льва Синдрии, Проклятого 33-го. Говорят, что они погибли и слились с местной флорой, и ходят слухи о ходячих мертвецах, сохранивших боевую хватку, которой они обладали при жизни. Даже говорят, что пленников отводят в глубину джунглей и скармливают грибам, которые, по слухам, управляют останками солдат.",,"The Ministry of Environment, responsible for preserving Jangala while exploiting its resources to the greatest possible extent, denies any and all rumors of undead dissidents. Even if such macabre gossip is true, Jangala is well worth the danger for the Diktat to hold. Bioengineers from the Ministry of Science and Technology work around the clock creating fantastical new xenolife from the boundless creatures and plants the jungle world provides. These abominations serve as sources of nutrition, beloved pets, and guardians of the elite. Choice species are designed for combat, tailored for pure audacious spectacle. Xenolife deeper in the jungles are sought after, but rarely captured. Ministry scientists impatient with waiting for appropriate escort in search of valued specimens are found on the outskirts of the jungle, burned to bone and gristle. It is rumored the Damned control the jungle itself, keeping Diktat forces alive purely for the sport of hunting those who dare tread the soil path of the forest. Some have claimed to kill a hostile, but the corpse always seems to disappear, reclaimed by the jungle it is part of.",
planet_jangala_tritachyon,CUSTOM,"Сотрудники Tri-Tachyon стали называть Джангалу ""Зеленым адом"" не только из-за ее пышной, но смертоносной биосферы, но и из-за того, что осталось от сил обороны Гегемонии этого зеленого слоя проклятия. Сотрудники службы безопасности Tri-Tachyon, которым удалось сбежать, описывают их как тех, кто не боится смерти, и они заслужили имя Рейнджеров Смерти в приглушенных тонах у кулеров. Есть подозрения, что большинство луддитского населения снабжает этих диссидентов, поскольку самые верные жители планеты оказались самыми проблемными сотрудниками. Утверждения о том, что компания оскверняет святое место, были рассмотрены в отношении того, кто может быть потенциальным сочувствующим.",,"The sealed cities of Jangala now conduct research on how to reduce the toxicity of Jangala's atmosphere, while Jangala Station works overtime burning away the native flora producing the searing venom that layers over the world. Tri-Tachyon employees have taken to using the Jangala Station to strike where the Death Rangers are suspected to hide, an innovative measure that unfortunately has produced no proven results, as the absolute nature of the orbital laser obliterates any trace of a supposed target. Attempts to engage on the ground level have almost completely stopped, as those not killed in combat are discovered in the early morning, just outside the population centers, biofilter masks removed after being strung up on poles.",
planet_jangala_neutral,CUSTOM,"Жемчужина системы Корвус, Джангала, обладает пышной местной биосферой. Поля и моря мира, часто скрытые вращающимися циклонами мегаштормов, были основным источником органического сырья, пищевых продуктов и экзотических ксенобиологических материалов. Считается весьма священным для большинства луддитских сект, но в значительной степени заброшен, поскольку его население рассеялось в дикой природе.",,"Initially a center of xenobiological study and tourism, exploitation followed discovery and millions of square kilometres were razed and then covered by plantations tended by massive robotic harvesters. But it is no paradise for humans, requiring biofilter masks and a decontamination process for surface visits. The riotous native jungle has overgrown the great cities, the vast farms, making them uninhabitable as the native population attempts to regain control. Small villages attempt to claw back control from the planet it has only so recently regained, various factions clamoring for dominance, among them the fierce Hegemony-aligned Bloodhawks.",
,,,,,
station_jangala_independent,CUSTOM,"Орбитальный мегаполис, военно-морская верфь и порт; бесспорный космополитический центр цивилизации и культуры в системе Корвус, а также место независимых наемных операций для большинства местных систем. Тяжелый коммерческий и военно-морской трафик кишит на станции постоянно.",,,
station_jangala_luddic_church,CUSTOM,"Орбитальный мегаполис, военно-морская верфь и порт; бесспорный космополитический центр цивилизации и культуры в системе Корвус, а также резиденция Рыцарей Ладда, охватывающая местные системы. Тяжелый коммерческий и военно-морской трафик кишит на станции постоянно. Несколько храмов различных вероисповеданий выросли на станции, и чудесные события были заявлены теми, кто был исцелен или обрел победу после молитвы, что привело к некоторым петициям объявить ее святым местом.",,,
station_jangala_luddic_path,CUSTOM,"Орбитальный мегаполис, военно-морская верфь и порт; бесспорный космополитический центр цивилизации и культуры в системе Корвус, а также резиденция Инквизиции, охватывающая местные системы. Тяжелый коммерческий и военно-морской трафик кишит на станции постоянно.",,,
station_jangala_persean,CUSTOM,"Орбитальный мегаполис, военно-морская верфь и порт; бесспорный космополитический центр цивилизации и культуры в системе Корвус, а также резиденция военных флотов Персейской лиги для местных систем, с периодическими боями между представителями Лиги, снижающими эффективность флотских операций. Тяжелый коммерческий и военно-морской трафик кишит на станции постоянно.",,,
station_jangala_pirate,CUSTOM,"Орбитальный мегаполис, военно-морская верфь и порт; бесспорный космополитический центр цивилизации и культуры в системе Корвус, а также резиденция Короля бандитов Бладстоуна, контролирующего пиратские флоты в местных системах. Хотя захват повредил орбитальный лазер, его системы жизнеобеспечения все еще функционируют. Тяжелый коммерческий и военно-морской трафик кишит на станции постоянно.",,,
station_jangala_sindrian_diktat,CUSTOM,"Орбитальный мегаполис, военно-морская верфь и порт; бесспорный космополитический центр цивилизации и культуры в системе Корвус, а также штаб-квартира Министерства порядка, из которой министр руководит операциями во всех местных системах и взял на себя командование усилиями по искоренению повстанцев Джангалы. Тяжелый коммерческий и военно-морской трафик кишит на станции постоянно.",,,
station_jangala_tritachyon,CUSTOM,"Орбитальный мегаполис, военно-морская верфь и порт; бесспорный космополитический центр цивилизации и культуры в системе Корвус, а также узел безопасности Tri-Tachyon, охватывающий местные системы. Работа с боеприпасами сверхурочно привела к активному черному рынку запасных частей, обслуживаемому техниками Tri-Tachyon. Тяжелый коммерческий и военно-морской трафик кишит на станции постоянно.",,,
station_jangala_neutral,CUSTOM,"Орбитальный мегаполис, военно-морская верфь и порт; некогда бесспорный космополитический центр цивилизации и культуры в системе Корвус, а также резиденция военного округа Гегемонии, охватывающего местные системы. Теперь он заброшен, его время от времени осматривают мусорщики, обращающие внимание на такие опасности, как топливопроводы, электрические системы и все еще находящиеся под давлением модули.",,,
,,,,,
planet_asharu_hegemony,CUSTOM,"Планета-пустыня, продукт неудачного проекта терраформирования, начатого ещё до Коллапса. Населена несколькими стойкими поселенцами, решительными солдатами и чудаками. Гегемония поддерживает небольшую, но крепкую администрацию, где патрули выслеживают пиратов и защищают те немногочисленные общины и коммерческую деятельность, что остались. Они заслужили прозвище ""Лихие Всадники"".",,"In better times Asharu was a model terraforming prospect: A solar shade lowered the surface temperature while ice launched from the moons of Barad left shining vapour trails to fall as rain from the skies. Alas the chaos of the Collapse halted the ice and suspected Luddic sabotage destroyed the shade. The Hegemony has revitalized the terraforming project, and while progress with the reactivation of the terraforming platform remains slow, efforts resume on the ground level, where Rough Riders coast the dunes, a symbol of hope reborn in the darkness.",
planet_asharu_luddic_church,CUSTOM,"Планета-пустыня, продукт неудачного проекта терраформирования, начатого ещё до Коллапса. Населена несколькими ярыми независимыми поселенцами, преступниками и чудаками. Церковь Галактического Искупления управляет этим миром, высокие каменные крепости построены в каждой деревне и городе, а Рыцари Ладда ездят верхом на зверях по проторенным дорогам между фермой, таверной, храмом и городом.",,"In better times Asharu was a model terraforming prospect: A solar shade lowered the surface temperature while ice launched from the moons of Barad left shining vapour trails to fall as rain from the skies. Alas the chaos of the Collapse halted the ice and suspected Luddic sabotage destroyed the shade. The human spirit is determined however, and with gentle guidance hardy crops have been nurtured from mountainside and hardened soil by the natives of this land. It is not a luxurious world, but the Church extols a virtuous life rather than one of unearned comforts.",
planet_asharu_luddic_path,CUSTOM,"Планета-пустыня, продукт неудачного проекта терраформирования, начатого ещё до Коллапса. Населена несколькими преданными священниками, крестоносцами и кающимися. Латтерианский Путь с убежденностью удерживает Ашару, посланники Истинного Слова поддерживают Путь к Просветлению для тех, кто стремится понять Ладда и по-настоящему слиться с Его священной миссией.",,"In better times Asharu was a model terraforming prospect: A solar shade lowered the surface temperature while ice launched from the moons of Barad left shining vapour trails to fall as rain from the skies. Alas the chaos of the Collapse halted the ice and suspected Luddic sabotage destroyed the shade. Now Asharu is barren, save for the scattered surface temples, traveled in succession by those seeking true enlightenment. Trials face the faithful in their journey; feats of wit, combat, even exposure to the elements until one is graced with a vision from Ludd Himself.",
planet_asharu_persean,CUSTOM,"Планета-пустыня, продукт неудачного проекта терраформирования, начатого ещё до Коллапса. Она населена теми, кто остался после захвата Ашару Лигой, и младшим домом Филкенхильд, который успешно приобрел планету через аукцион. Бесплодная природа планеты стала неожиданностью для новоиспеченного обанкротившегося дома, выжимающего из своих подданных все, что у них есть.",,"In better times Asharu was a model terraforming prospect: A solar shade lowered the surface temperature while ice launched from the moons of Barad left shining vapour trails to fall as rain from the skies. Alas the chaos of the Collapse halted the ice and suspected Luddic sabotage destroyed the shade. Due to efforts by the ruling House of Dun, the local economy has seen gradual growth, as a minor outpost in the League's growing sphere of influence.",
planet_asharu_pirates,CUSTOM,"Планета-пустыня, продукт неудачного проекта терраформирования, начатого ещё до Коллапса. Населена несколькими ярыми независимыми поселенцами, преступниками и чудаками. Колосс правит этим миром, по слухам, вдвое больше среднего человека, гладиатор, который завоевал свободу и право править этим миром, убив бывшего пиратского лорда. Его верные солдаты собирают десятину с пустынных городов.",,"In better times Asharu was a model terraforming prospect: A solar shade lowered the surface temperature while ice launched from the moons of Barad left shining vapour trails to fall as rain from the skies. Alas the chaos of the Collapse halted the ice and suspected Luddic sabotage destroyed the shade. In the capital of Asharu sits a mountain fortress, where The Colossus rules supreme. Mighty beasts collected from the sector over, even abominations obtained from the Sindrian Diktat, are fought by brave gladiators for the entertainment and profit of attendees.",
planet_asharu_sindrian_diktat,CUSTOM,"Планета-пустыня, продукт неудачного проекта терраформирования, начатого ещё до Коллапса. Населена несколькими ярыми независимыми повстанцами, гражданской защитой и фермерами, выращивающими лишайники. Диктат правит Ашару железной рукой, Министерство патриотизма проводит частые проверки на лояльность, чтобы поймать ""Красных Сабель"", движение сопротивления Ашару. Для большинства единственный способ покинуть Ашару - это Академия Гражданской Защиты.",,"In better times Asharu was a model terraforming prospect: A solar shade lowered the surface temperature while ice launched from the moons of Barad left shining vapour trails to fall as rain from the skies. Alas the chaos of the Collapse halted the ice and suspected Luddic sabotage destroyed the shade. Investment dried up and now the terraforming station stands as the repurposed Civil Protection Academy. The Ministry of Education and Ministry of Order often clash on which skilled criminals should be reeducated and trained in the academy, or labor in the various mining facilities of the Diktat, especially concerning the local Red Sabres rebels.",
planet_asharu_tritachyon,CUSTOM,"Планета-пустыня, продукт неудачного проекта терраформирования, начатого ещё до Коллапса. Населена бюрократами, сотрудниками службы безопасности и всем вспомогательным персоналом, необходимым для административной сети, охватывающей целую планету. ""Три-Тахион"" заявила права на Ашару для выполнения самой важной задачи - работы с документами. Неразобранные финансовые отчеты, заявления о преследованиях и официальные запросы на жизненно важное прекращение поступают со всех объектов ""Три-Тахион""; некоторые файлы отстают от рассмотрения на годы или десятилетия.",,"In better times Asharu was a model terraforming prospect: A solar shade lowered the surface temperature while ice launched from the moons of Barad left shining vapour trails to fall as rain from the skies. Alas the chaos of the Collapse halted the ice and suspected Luddic sabotage destroyed the shade. Investment dried up and now only a few hardy lifeforms cling to existence outside the shining monument-cities of corporate excellence, while within the halls of protocol employees are permitted to enjoy the botanical wings and ice cream bar as long as they work.",
planet_asharu_neutral,CUSTOM,"Планета-пустыня, продукт неудачного проекта терраформирования, начатого ещё до Коллапса. Населена несколькими ярыми независимыми поселенцами, преступниками и чудаками. Здесь нет единой планетарной администрации, каждое поселение предоставлено своей собственной защите и управлению. Демократические советы с ветхими ополчениями, фермерские коммуны со своим одиноким шерифом, горные крепости с бандитскими легионами - все делают все возможное, чтобы выжить.",,In better times Asharu was a model terraforming prospect: A solar shade lowered the surface temperature while ice launched from the moons of Barad left shining vapour trails to fall as rain from the skies. Alas the chaos of the Collapse halted the ice and suspected Luddic sabotage destroyed the shade. Investment dried up and now only a few hardy lifeforms (including a handful of human settlers) cling to existence in the sheltering mountains between the vast dunes that are slowly retaking what little has been built.,
,,,,,
planet_garnir_hegemony,CUSTOM,"Толстая ледяная кора этого мира питается криовулканами, усеивающими поверхность. Эти замороженные пустоши испещрены портальными установками массовых ускорителей со времен, когда летучие элементы этого мира добывались в огромных масштабах для обеспечения терраформирования в других частях системы. Разрозненные аванпосты ведут записи метеорологических событий, в то время как припасы сбрасываются для программы ""Галатийцы за границей"", предлагающей углубленные курсы от наук об окружающей среде до арктической войны.",,,
planet_garnir_independent,CUSTOM,"Толстая ледяная кора этого мира питается криовулканами, усеивающими поверхность. Эти замороженные пустоши испещрены портальными установками массовых ускорителей со времен, когда летучие элементы этого мира добывались в огромных масштабах для обеспечения терраформирования в других частях системы. На поверхности расположены разрозненные поселения, уютные жилища с теплицами, детскими садами, универсальными магазинами и прочими сооружениями, соединенными хорошо утепленными туннелями.",,,
planet_garnir_luddic_church,CUSTOM,"Толстая ледяная кора этого мира питается криовулканами, усеивающими поверхность. Эти замороженные пустоши испещрены портальными установками массовых ускорителей со времен, когда летучие элементы этого мира добывались в огромных масштабах для обеспечения терраформирования в других частях системы. В основе каждого города лежат огромные генераторы, обогревающие и питающие их в радиусе каждого генератора и через дополнительные центральные генераторы. Мороз жесток, но верой можно пережить бурю. Утешайтесь, дети, верьте! Избранные выстоят!",,,
planet_garnir_luddic_path,CUSTOM,"Толстая ледяная кора этого мира питается криовулканами, усеивающими поверхность. Эти замороженные пустоши испещрены портальными установками массовых ускорителей со времен, когда летучие элементы этого мира добывались в огромных масштабах для обеспечения терраформирования в других частях системы. Часть старого оборудования присвоена разрозненными учениками Истинного Пути, проходящими углубленную подготовку по погоде с минимальным запасом припасов между ледниками аммиачного льда.",,,
planet_garnir_persean,CUSTOM,"Толстая ледяная кора этого мира питается криовулканами, усеивающими поверхность. Эти замороженные пустоши испещрены портальными установками массовых ускорителей со времен, когда летучие элементы этого мира добывались в огромных масштабах для обеспечения терраформирования в других частях системы. Недавние усилия техников Лиги по ремонту портальных установок с помощью труда бывших пиратов пока не принесли плодов, но шахты летучих газов, унаследованные от предыдущих владельцев, оказались весьма прибыльными. Растет экономика азартных игр и предметов роскоши, которую тихо терпят.",,,
planet_garnir_sindrian_diktat,CUSTOM,"Толстая ледяная кора этого мира питается криовулканами, усеивающими поверхность. Эти замороженные пустоши испещрены портальными установками массовых ускорителей со времен, когда летучие элементы этого мира добывались в огромных масштабах для обеспечения терраформирования в других частях системы. Часть старого оборудования присвоена Министерством порядка, где осужденные преступники пытаются выполнить квоту. Если им это не удается, их присваивает Министерство науки и технологий.",,,
planet_garnir_tritachyon,CUSTOM,"Толстая ледяная кора этого мира питается криовулканами, усеивающими поверхность. Эти замороженные пустоши испещрены портальными установками массовых ускорителей со времен, когда летучие элементы этого мира добывались в огромных масштабах для обеспечения терраформирования в других частях системы. Часть старого оборудования присвоена группой менеджеров среднего звена ""Триа-Такьон"", которые с усиленной охраной следят за бывшими пиратами, отрабатывающими свой долг перед компанией. Время от времени прибывают большие корпоративные флоты, забирающие летучие вещества и привозящие еще больше должников.",,,
planet_garnir_neutral,CUSTOM,"Толстая ледяная кора этого мира питается криовулканами, усеивающими поверхность. Эти замороженные пустоши испещрены портальными установками массовых ускорителей со времен, когда летучие элементы этого мира добывались в огромных масштабах для обеспечения терраформирования в других частях системы. Часть старого оборудования присвоена разрозненными группами выживших, ищущих убежище от непрекращающихся штормов.",,,
,,,,,
station_garnir_hegemony,CUSTOM,"Станция, первоначально построенная компанией ""Эридани-Утопия"" для координации добычи летучих веществ для масштабных проектов терраформирования, была захвачена ""лоялистами"" - солдатами, слугами Гегемонии, которые бдительно и сурово охраняют свое пространство от пиратов. На борту станции необходимо соблюдать строгий закон Гегемонии, если вы хотите оставаться на свободе достаточно долго. Те, кто готов соблюдать правила местной власти и заполнить надлежащие документы у квартирмейстера, найдут здесь здоровый рынок контрактов с экипажами, разнообразные припасы и достоверную информацию от высокоаккредитованных агентов. Программа ""Галатийцы за границей"" направляет как студентов, так и преподавателей в Добывающий склад, который сам по себе стал быстро развивающимся университетом, где стремление к знаниям приносит новую надежду.",,,
station_garnir_independent,CUSTOM,"Станция, первоначально построенная компанией ""Эридани-Утопия"" для координации добычи летучих веществ для масштабных проектов терраформирования, была захвачена ""независимыми"" - космическими скитальцами, теми, кто ищет свободной жизни и теплой еды, не обращая внимания на флаги и лояльности. Добывающий склад укомплектован колонистами Гарнира, которые внимательно следят за погодными условиями на планете, чтобы предоставлять актуальные прогнозы укрывшимся внизу душам, всегда помня об условиях, которые могут угрожать жизни их друзей и семей. Законы Гарнира распространяются и на станцию, и пока они не нарушаются, все желающие могут торговать припасами и историями. Колонисты сменяют друг друга на станции, всегда бодрые, когда прибывают на борт или возвращаются домой.",,,
